Year,Datetime,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals
2022,11/20/22 19:00,Qatar,Ecuador,,
2022,11/21/22 19:00,Senegal,Netherlands,,
2022,11/21/22 16:00,England,Iran,,
2022,11/21/22 22:00,United States,Wales,,
2022,11/22/22 22:00,France,Australia,,
2022,11/22/22 16:00,Denmark,Tunisia,,
2022,11/22/22 19:00,Mexico,Poland,,
2022,11/22/22 13:00,Argentina,Saudi Arabia,,
2022,11/23/22 22:00,Belgium,Canada,,
2022,11/23/22 19:00,Spain,Costa Rica,,
2022,11/23/22 16:00,Germany,Japan,,
2022,11/23/22 13:00,Morocco,Croatia,,
2022,11/24/22 13:00,Switzerland,Cameroon,,
2022,11/24/22 16:00,Uruguay,"Korea, Rep.",,
2022,11/24/22 19:00,Portugal,Ghana,,
2022,11/24/22 22:00,Brazil,Serbia,,
2022,11/25/22 13:00,Wales,Iran,,
2022,11/25/22 16:00,Qatar,Senegal,,
2022,11/25/22 19:00,Netherlands,Ecuador,,
2022,11/25/22 22:00,England,United States,,
2022,11/26/22 13:00,Tunisia,Australia,,
2022,11/26/22 16:00,Poland,Saudi Arabia,,
2022,11/26/22 19:00,France,Denmark,,
2022,11/26/22 22:00,Argentina,Mexico,,
2022,11/27/22 13:00,Japan,Costa Rica,,
2022,11/27/22 16:00,Belgium,Morocco,,
2022,11/27/22 19:00,Croatia,Canada,,
2022,11/27/22 22:00,Spain,Germany,,
2022,11/28/22 13:00,Cameroon,Serbia,,
2022,11/28/22 16:00,"Korea, Rep.",Ghana,,
2022,11/28/22 19:00,Brazil,Switzerland,,
2022,11/28/22 22:00,Portugal,Uruguay,,
2022,11/29/22 22:00,Wales,England,,
2022,11/29/22 22:00,Iran,United States,,
2022,11/29/22 18:00,Ecuador,Senegal,,
2022,11/29/22 18:00,Netherlands,Qatar,,
2022,11/30/22 18:00,Australia,Denmark,,
2022,11/30/22 18:00,Tunisia,France,,
2022,11/30/22 22:00,Poland,Argentina,,
2022,11/30/22 22:00,Saudi Arabia,Mexico,,
2022,12/1/22 18:00,Croatia,Belgium,,
2022,12/1/22 18:00,Canada,Morocco,,
2022,12/1/22 22:00,Japan,Spain,,
2022,12/1/22 22:00,Costa Rica,Germany,,
2022,12/2/22 18:00,Ghana,Uruguay,,
2022,12/2/22 18:00,"Korea, Rep.",Portugal,,
2022,12/2/22 22:00,Serbia,Switzerland,,
2022,12/2/22 22:00,Cameroon,Brazil,,